user_name,nickname,favs,rts,favs_rts,tweet_content,hour,date_yyyy_mm_dd,date_dd_mm_yyyy,time_code_utc
Apple Support,AppleSupport,247,106,353,Ask to Buy allows your kids to make their own choices while you supervise spending: https://t.co/HZeuk40KSM https://t.co/c5ZroOcXS6,21:45:05,2016-04-28,2016-04-28,2016-04-28T21:45:05Z
Dominic DeAngelis,DOMtheB0MB,242,46,288,Eli apple?,01:43:11,2016-04-29,2016-04-29,2016-04-29T01:43:11Z
Kid Ink,Kid_Ink,241,105,346,Grab the bro @ASAPferg new album ASAP! https://t.co/UZcoSF7QwT https://t.co/yqOVXvXyO8,19:49:09,2016-04-28,2016-04-28,2016-04-28T19:49:09Z
Apple Music,AppleMusic,238,76,314,"Premiered on #Beats1 with @zanelowe...
@tompeterodell's #Constellations ✨
 #WrongCrowd soon!
https://t.co/FYtfp2HXwM https://t.co/AvVtJ2mkqH",21:34:01,2016-04-28,2016-04-28,2016-04-28T21:34:01Z
Eric Seger,EricSeger33,232,54,286,Eli Apple is up next in the Ohio State infomercial https://t.co/trxw5yJVqT,22:27:32,2016-04-28,2016-04-28,2016-04-28T22:27:32Z
New York Giants,Giants,224,119,343,"""Eli Apple can play the slot and outside. However Spags wants to use him."" - Marc Ross",01:53:05,2016-04-29,2016-04-29,2016-04-29T01:53:05Z
New York Giants,Giants,201,106,307,Read what the experts are saying about the selection of CB Eli Apple &gt;&gt; https://t.co/3W4z8Y1SPd https://t.co/M7tAhJzzcq,02:45:14,2016-04-29,2016-04-29,2016-04-29T02:45:14Z
Aykut Ünal,ayk747,194,207,401,Niconé &amp; Sascha Braemer - Never (feat. Wrongkong) parçasını @AppleMusic’te dinleyin. https://t.co/REm5bqQjV6,21:45:43,2016-04-28,2016-04-28,2016-04-28T21:45:43Z
Music News & Facts,musicnews_facts,192,178,370,"#VIEWS is out now on iTunes! https://t.co/U9axEhcKDQ",03:05:43,2016-04-29,2016-04-29,2016-04-29T03:05:43Z
Cris,CrisTheBunny,185,75,260,"GUYS MY NEW EP IS NOW ON ITUNES GO GET IT!! AND RATE IT (IT HELPS)
https://t.co/5axzqqMYSC",21:29:16,2016-04-28,2016-04-28,2016-04-28T21:29:16Z
ABC Music Lounge,abcmusiclounge,181,57,238,"Last song on @GreysABC #TGIT is the appropriately titled ""Love Doctor"" by @SebastianKole | Get it here: https://t.co/CBoAOyeqv2",00:56:29,2016-04-29,2016-04-29,2016-04-29T00:56:29Z
Cartoon Network,cartoonnetwork,177,66,243,"When you finish a new #Gumball episode... and you click this and get even more new Gumball: https://t.co/0hyGzwbwrN https://t.co/sQPqGBKkMn",21:49:58,2016-04-28,2016-04-28,2016-04-28T21:49:58Z
Emily Kaplan,emilymkaplan,175,142,317,"According to his mom, Eli Apple almost missed NYG call. ""Who is calling you from a 201 area code? Don't pick that up! You're at the draft!""",01:48:19,2016-04-29,2016-04-29,2016-04-29T01:48:19Z
Did You Know?,engrossingfacts,167,72,239,"Everything you say to Siri is sent to Apple, analyzed and stored.",21:30:17,2016-04-28,2016-04-28,2016-04-28T21:30:17Z
whiteeeen,_whiteeeen_,165,36,201,"ブログ更新しました😌😌🌸

「花言葉☆meri」

★Android https://t.co/7puWGoKzZk            
★iPhone https://t.co/pq8yiMTmoj https://t.co/BUyD7Gyzfu",10:21:18,2016-04-28,2016-04-28,2016-04-28T10:21:18Z
A'£,AbdiTV,157,65,222,yh leaking drakes album as soooon as it comes on apple music tonight i promise,19:52:41,2016-04-28,2016-04-28,2016-04-28T19:52:41Z
Mustafa agha,mustafa_agha,157,50,207,Apple نزلت software جديد على الآيفون يمكّن المستخدمين من مشاركة سجلهم الطبي مع اطبائهم الذين يستطيعون متابعة حالاتهم https://t.co/MqKIk5xAF3,14:38:40,2016-04-28,2016-04-28,2016-04-28T14:38:40Z
MIYAVI,MIYAVI_OFFICIAL,150,50,200,謝謝大家我們很開心！RT @MIYAVI_STAFF 《祝!!》国内チャート1位に続きまして、Afraid To Be Cool/ Raise Me Up  発売初日.台湾Rock部門 でもitunesチャート1位を獲得しました!! https://t.co/XLlyGKJU5z,08:11:07,2016-04-29,2016-04-29,2016-04-29T08:11:07Z
Ralph Vacchiano,RVacchianoNYDN,146,118,264,CB Eli Apple is far from a terrible pick. But here's one lingering question: They couldn't have traded back and made it?,01:29:09,2016-04-29,2016-04-29,2016-04-29T01:29:09Z
HYPEBEAST,HYPEBEAST,136,81,217,".@Drake has unveiled a new time for 'Views' on Beats 1 Radio.
https://t.co/JmARbNjuGD https://t.co/ucaRhfximT",01:47:51,2016-04-29,2016-04-29,2016-04-29T01:47:51Z
Bill Simmons,BillSimmons,134,19,153,My mom really liked my new BS Pod with @sacca so that counts for something. Here's the iTunes link. https://t.co/PVamQoLAd3,22:25:11,2016-04-28,2016-04-28,2016-04-28T22:25:11Z
Ariana ✨,arizzzlex,131,74,205,making different accounts to get a free month of Apple Music https://t.co/PS2RPDTXl0,04:58:49,2016-04-29,2016-04-29,2016-04-29T04:58:49Z
TIME.com,TIME,130,64,194,33 questions that were asked at Apple job interviews https://t.co/Xi0yFxHXNn,03:00:11,2016-04-29,2016-04-29,2016-04-29T03:00:11Z
Metric,Metric,128,35,163,Finally! Black Sheep's up on all your favourite ethereal music shoppes! https://t.co/0H7pNwvhLA https://t.co/oQ9nYWamI5,21:56:20,2016-04-28,2016-04-28,2016-04-28T21:56:20Z
Chris Biersack,ChrisABiersack,128,52,180,"8 days #TheShadowSide #AndyBlack https://t.co/qMyk1pW6vD https://t.co/ZfTJBXUEJC https://t.co/uv4OepujnI",14:21:50,2016-04-28,2016-04-28,2016-04-28T14:21:50Z
pixiv Sketch,pixivsketch,122,72,194,"『カラーの絵を描きたいけどいろいろ揃えるのが大変😭』
そんなあなたにpixiv Sketch！！
Sketchで紙に描いた落書きや下書きに簡単に色つけ！💪
↓↓↓ぜひお試しください
https://t.co/UGmAJTKXA0 https://t.co/dekSZxH6d4",06:18:41,2016-04-29,2016-04-29,2016-04-29T06:18:41Z
Everette Taylor,Everette,121,55,176,"listening to #Views on apple music on my iPhone w/ beats headphones w/ an apple watch on my wrist &amp; tweeting this from my macbook. owned.",04:34:30,2016-04-29,2016-04-29,2016-04-29T04:34:30Z
