user_name,nickname,favs,rts,favs_rts,tweet_content,hour,date_yyyy_mm_dd,date_dd_mm_yyyy,time_code_utc
نايف الهاجري,Magruff_LE,6,173,179,"""تطبيق رائع""
قام بتصميمه مجموعة من محبين
الشيخ #محمد_بن_زايد
حفظه الله🇦🇪🇦🇪
على هذا الرابط 
https://t.co/sTOcGaiU71 https://t.co/k5IRqSHa8I",17:47:48,2016-04-28,2016-04-28,2016-04-28T17:47:48Z
Everette Taylor,Everette,121,55,176,"listening to #Views on apple music on my iPhone w/ beats headphones w/ an apple watch on my wrist &amp; tweeting this from my macbook. owned.",04:34:30,2016-04-29,2016-04-29,2016-04-29T04:34:30Z
Hopeless Records,hopelessrecords,112,60,172,"Welcome @Emarosa to the #HopelessFamily! New single out now!
📺: https://t.co/CuiFV5p0rW
🎧: https://t.co/lrILpfmBki https://t.co/0feEWqc98E",18:07:01,2016-04-28,2016-04-28,2016-04-28T18:07:01Z
Genius,Genius,89,82,171,"#VIEWS ON APPLE MUSIC RN SO CONFUSED/HAPPY 😩 😩 
https://t.co/KcSqFW899g https://t.co/R1FJPRaesJ",03:05:45,2016-04-29,2016-04-29,2016-04-29T03:05:45Z
"#TeamDrizzy",TeamDrizzy,78,91,169,Apple music in an hour!!!! Views in less than 3 hours!!! Its really happening!!!!!!! https://t.co/yl5xryioRj,01:47:49,2016-04-29,2016-04-29,2016-04-29T01:47:49Z
DIY Hacks,WeirdLifeHacks,106,61,167,Peel an apple easily https://t.co/ROaVSmU5z7,16:26:17,2016-04-28,2016-04-28,2016-04-28T16:26:17Z
520 PROMOTIONS LLC,520Promotion,71,93,164,"SUPPORT A DOPE HARD WORKING ARTIST @Hollowz45 GO GRAB THAT NEW https://t.co/rfXq5QWNRC #520PROMO #RT",02:17:09,2016-04-29,2016-04-29,2016-04-29T02:17:09Z
Metric,Metric,128,35,163,Finally! Black Sheep's up on all your favourite ethereal music shoppes! https://t.co/0H7pNwvhLA https://t.co/oQ9nYWamI5,21:56:20,2016-04-28,2016-04-28,2016-04-28T21:56:20Z
INTERNET Watch,internet_watch,41,119,160,Apple、QuickTime for Windowsのサポート終了を正式に告知していたことが判明　 https://t.co/hkFO8S3GYh https://t.co/DYezHdG8pk,10:15:11,2016-04-28,2016-04-28,2016-04-28T10:15:11Z
Kesha Brasil,keshabrsite,79,77,156,"""True Colors"" is OUT NOW on iTunes USA! https://t.co/rftrCuwNnI #BuyTrueColorsOniTunes https://t.co/pLEQ3viTyn",03:06:00,2016-04-29,2016-04-29,2016-04-29T03:06:00Z
Bill Simmons,BillSimmons,134,19,153,My mom really liked my new BS Pod with @sacca so that counts for something. Here's the iTunes link. https://t.co/PVamQoLAd3,22:25:11,2016-04-28,2016-04-28,2016-04-28T22:25:11Z
LΔCashiShinQuerer ☾,iAngieArrocan,102,45,147,Yo soy así como los productos Apple. Nada más soy compatible conmigo misma.,01:48:28,2016-04-29,2016-04-29,2016-04-29T01:48:28Z
Yung Rénzél,rickyrozay,75,68,143,"Get Boss emoji's now! 
https://t.co/gLZ5wRcmwI https://t.co/j2HO0mUA1m",21:58:01,2016-04-28,2016-04-28,2016-04-28T21:58:01Z
Bloomberg,business,42,94,136,Apple drops after Icahn sells his stake https://t.co/pVBba8xqUb https://t.co/ApGZTuboIp,18:19:34,2016-04-28,2016-04-28,2016-04-28T18:19:34Z
MIYAVI STAFF,MIYAVI_STAFF,95,39,134,"MIYAVI1年ぶりの新曲、もう間もなく配信開始です!!!!!
https://t.co/dlJhFqcI9b
#MIYAVI #GUITAR",14:44:43,2016-04-28,2016-04-28,2016-04-28T14:44:43Z
Ralph Vacchiano,RVacchianoNYDN,58,75,133,It's going to be CB Eli Apple to the Giants ... most perfect name in the draft for the Giants' pick.,01:19:34,2016-04-29,2016-04-29,2016-04-29T01:19:34Z
520 PROMOTIONS LLC,520Promotion,47,83,130,"GO SUPPORT AND GRAB THAT NEW @ImAGee94 Game Over 
https://t.co/WkHFlZGM4K #520PROMO #RT",10:18:21,2016-04-28,2016-04-28,2016-04-28T10:18:21Z
The-Flow.ru,theflowmag,67,62,129,"#VIEWS

Новый альбом Drake появился в русском iTunes и Apple Music. Нам нужно твое мнение. 

https://t.co/SsPdJcxAO6 https://t.co/6GZPupqqSP",06:29:01,2016-04-29,2016-04-29,2016-04-29T06:29:01Z
Forbes,Forbes,65,63,128,A $24 billion revenue from services this year could match Apple's entire revenue from 2007 https://t.co/88trI7Dbcj https://t.co/kkA8SUndVE,22:16:00,2016-04-28,2016-04-28,2016-04-28T22:16:00Z
Mashable,mashable,60,67,127,Twitter is now a 'news' app in the Apple store https://t.co/FSGcRQAXaZ,20:03:52,2016-04-28,2016-04-28,2016-04-28T20:03:52Z
Breitbart News,BreitbartNews,78,47,125,FBI Refuses to Tell Apple How San Bernardino Jihadi’s iPhone Was Hacked https://t.co/jzO6p9Mw7f,22:07:58,2016-04-28,2016-04-28,2016-04-28T22:07:58Z
Washington Post,washingtonpost,51,72,123,Why billionaire Carl Icahn just dumped every share he has in Apple https://t.co/lPivoBNGDX,06:27:57,2016-04-29,2016-04-29,2016-04-29T06:27:57Z
8123,8123,74,45,119,"Sincerely, John the Ghost - EP by John the Ghost | OUT NOW!!!  https://t.co/s5tOBfYk3u",04:28:34,2016-04-29,2016-04-29,2016-04-29T04:28:34Z
MGM Studios,MGM_Studios,88,31,119,Escape this weekend and celebrate the 25th Anniversary of Thelma &amp; Louise: https://t.co/5oPUoOFWtm https://t.co/caJVCqnDpP,22:01:22,2016-04-28,2016-04-28,2016-04-28T22:01:22Z
DJ SCREAM,DJSCREAM,44,73,117,"I Got It All of a JuuG @Loudiene 🔥🔥

https://t.co/3zeBG5Txkh",18:03:39,2016-04-28,2016-04-28,2016-04-28T18:03:39Z
一個@SlowWest5/23再々放送！,ellipsis_214782,52,62,114,"おーい！マカベンダークラスタのみんなー！ iPhone・iPad ユーザーなら嬉しいマカベンダーが表紙のCineplex Magazineが無料で読めるよー！
 https://t.co/AYzgOLvjTj https://t.co/UXAh2brmbD",10:23:08,2016-04-28,2016-04-28,2016-04-28T10:23:08Z
The Verge,verge,58,51,109,Apple may be working on a way to show friends your autocorrect mistakes https://t.co/B92L47QoaS https://t.co/mqZMaMo9EK,22:23:04,2016-04-28,2016-04-28,2016-04-28T22:23:04Z
TexMoji,TexMoji,68,36,104,True. Very True. https://t.co/8VnsuNZLya https://t.co/ptWS8pOhLb,16:31:34,2016-04-28,2016-04-28,2016-04-28T16:31:34Z
The Verge,verge,62,40,102,"Hey Siri, who's better: you or Alexa? https://t.co/WcnQvPRgKy https://t.co/oozQDqPXLU",10:30:06,2016-04-28,2016-04-28,2016-04-28T10:30:06Z
Lori Schmidt,LoriSchmidt,73,29,102,"Eli Apple told ESPN he almost didn't answer the phone when the Giants called, because it saw it was a NJ number and assumed it was a friend.",02:03:31,2016-04-29,2016-04-29,2016-04-29T02:03:31Z
YanelaBrooks,Yanelabrooks,50,51,101,"Mi #Hit #cubanosporelmundo junto a #Buenavistasocialclub, Aquí la tienes https://t.co/qIxICtIEee sabor y son #Cuba https://t.co/tQR23TLZrw",16:27:31,2016-04-28,2016-04-28,2016-04-28T16:27:31Z
武井勇輝,takei_corvo,66,32,98,"武井勇輝「MY NAME IS - EP」

ALBUM出たぜ😁

聞いてくれ https://t.co/5UY4Srs2hC",14:12:22,2016-04-28,2016-04-28,2016-04-28T14:12:22Z
Jordan Raanan,JordanRaanan,35,62,97,"The #Giants are taking Eli Apple with the 10th pick",01:19:17,2016-04-29,2016-04-29,2016-04-29T01:19:17Z
