picture_url,repeats
http://pbs.twimg.com/media/ChIzOR5W4AEBpm3.jpg,19
http://pbs.twimg.com/media/ChLk6yQUoAEHCT1.jpg,19
http://pbs.twimg.com/media/ChJgbnBWkAAPym7.jpg,19
http://pbs.twimg.com/media/ChKB_GsUUAA1fPU.jpg,19
http://pbs.twimg.com/media/ChLyk1lUoAE64sk.jpg,18
http://pbs.twimg.com/media/ChHHePwWkAEnXZv.png,18
http://pbs.twimg.com/media/ChKXuX2W4AAoASP.jpg,18
http://pbs.twimg.com/media/ChLP5S2WYAEYtG3.jpg,18
http://pbs.twimg.com/media/ChJvrXJWUAEkpfG.jpg,18
http://pbs.twimg.com/media/ChHzBy7VEAEh-OA.jpg,18
http://pbs.twimg.com/media/ChJZXhzWkAA-4hm.jpg,18
http://pbs.twimg.com/media/ChLPTnaWwAE9YcZ.jpg,18
http://pbs.twimg.com/media/ChLRLQMW4AAgl_g.jpg,18
http://pbs.twimg.com/media/CguLP1oWkAAnzS_.jpg,18
http://pbs.twimg.com/media/ChHqtKZW4AAmZW3.jpg,18
http://pbs.twimg.com/media/ChLeVP-UoAEcCl-.jpg,17
http://pbs.twimg.com/media/ChLRXZ_WkAQ1ZSZ.jpg,17
http://pbs.twimg.com/media/ChJz3PVUYAIZznT.jpg,17
http://pbs.twimg.com/media/ChIGbyAVEAAntzA.jpg,17
http://pbs.twimg.com/media/Cb6Yn6OWwAALXpi.jpg,17
http://pbs.twimg.com/media/ChIrPMMWMAAbMV6.jpg,17
http://pbs.twimg.com/media/ChMXnOYVEAA5e4U.jpg,17
http://pbs.twimg.com/media/ChKNXdNWgAEUFFs.jpg,17
http://pbs.twimg.com/media/ChLhhmyUgAI21dK.jpg,17
http://pbs.twimg.com/media/ChLQs3wWwAAJJ-_.jpg,17
http://pbs.twimg.com/media/ChJzkLIUcAEEQ5C.jpg,17
http://pbs.twimg.com/media/ChL2gqqUUAAGPDK.jpg,16
http://pbs.twimg.com/media/ChKYt18WUAAk5ZU.jpg,16
http://pbs.twimg.com/media/ChJdBSWUUAA0Gx2.jpg,16
http://pbs.twimg.com/media/ChKUmXAWMAARG1N.jpg,16
http://pbs.twimg.com/media/ChLc47AVEAENFYQ.jpg,16
http://pbs.twimg.com/media/ChKq8qaWIAA7e85.jpg,16
http://pbs.twimg.com/media/ChHjtR0UUAAJvVn.jpg,16
http://pbs.twimg.com/media/ChIj2_4WgAIBNNc.jpg,16
http://pbs.twimg.com/media/CfXHlDBXIAAW49r.jpg,16
http://pbs.twimg.com/media/ChKPXxkUcAAdFwE.jpg,16
http://pbs.twimg.com/media/ChKVdj0U8AAvc-9.jpg,16
http://pbs.twimg.com/media/ChKOay4WwAAz2P5.jpg,16
http://pbs.twimg.com/media/ChMG6LQU4AAtDw-.jpg,16
http://pbs.twimg.com/media/ChIVIoWUkAArtTl.jpg,16
http://pbs.twimg.com/media/ChMekPRUgAANJ5a.jpg,16
http://pbs.twimg.com/media/CfSrdWJWsAACV7G.jpg,15
http://pbs.twimg.com/media/ChLFoI8WUAERUt1.jpg,15
http://pbs.twimg.com/media/ChIWQzxUUAELyNe.jpg,15
http://pbs.twimg.com/media/ChKXZCfWIAE-c2P.jpg,15
http://pbs.twimg.com/media/ChLPIf2WwAAXQcF.jpg,15
http://pbs.twimg.com/media/ChKK2LQW4AEDsJO.jpg,15
http://pbs.twimg.com/media/ChMH_JpUkAIdlpc.jpg,15
http://pbs.twimg.com/media/ChKNgTVWMAEnJ-N.jpg,15
http://pbs.twimg.com/media/ChLQJUdVEAAckAu.jpg,15
http://pbs.twimg.com/media/ChGj617XEAAjwUm.jpg,15
http://pbs.twimg.com/media/ChKL6WtUUAEXjyI.jpg,15
http://pbs.twimg.com/media/ChMgFLTWUAA1scl.jpg,15
http://pbs.twimg.com/media/CgwdZn2U8AEXArq.jpg,15
http://pbs.twimg.com/media/ChLix6nUcAIdUTd.jpg,15
http://pbs.twimg.com/media/CfQsmwCXIAAM63j.jpg,14
http://pbs.twimg.com/media/ChH1kWjWIAEw84n.jpg,14
http://pbs.twimg.com/media/ChKBEeBUkAAucEm.jpg,14
http://pbs.twimg.com/media/ChLD2BzWMAAA79w.jpg,14
http://pbs.twimg.com/media/ChEfR5AWgAA78o_.jpg,14
http://pbs.twimg.com/ext_tw_video_thumb/725903624971280384/pu/img/jeJwJeLQ65QLwwow.jpg,14
http://pbs.twimg.com/media/ChLiLCqUcAA0frM.jpg,14
http://pbs.twimg.com/media/ChMeyx4WYAA7HXl.jpg,14
http://pbs.twimg.com/ext_tw_video_thumb/724776800631529474/pu/img/oEIIx2sW48Cyc9bJ.jpg,14
http://pbs.twimg.com/media/ChJqPQoWMAEzTJc.jpg,14
http://pbs.twimg.com/media/ChLIEvpUgAAQo-E.jpg,14
http://pbs.twimg.com/media/ChJJvLgVEAMsfRI.jpg,14
http://pbs.twimg.com/media/B9uRcInIIAAPZMx.jpg,14
http://pbs.twimg.com/media/ChHqQgxUYAA4gp6.jpg,14
http://pbs.twimg.com/media/ChLtJQlUkAE8bx7.jpg,13
http://pbs.twimg.com/media/ChJUPd_WYAEa9J6.jpg,13
http://pbs.twimg.com/media/ChKq1_FUYAAzc9c.jpg,13
http://pbs.twimg.com/media/ChKPS_iU0AEPjFB.jpg,13
